,animal_id,breed,age,Success,Sex,Size,life_expectancy,Percent through Life
118,A681550,Chihuahua Shorthair Mix,5.058980981433188,0,Female,small,15,0.33726539876221256
119,A694195,Chihuahua Shorthair Mix,0.7549303240693208,1,Male,small,15,0.05032868827128805
120,A667788,Chihuahua Shorthair Mix,0.8176778289614283,0,Female,small,15,0.054511855264095216
121,A692936,Chihuahua Shorthair Mix,8.034393815980707,1,Female,small,15,0.5356262543987138
122,A676885,Chihuahua Shorthair Mix,2.0966891859517993,1,Male,small,15,0.13977927906345328
123,A666047,Chihuahua Shorthair Mix,2.0110744535784066,0,Male,small,15,0.13407163023856045
124,A677176,Chihuahua Shorthair Mix,0.017718441248698542,0,Female,small,15,0.0011812294165799027
125,A667891,Chihuahua Shorthair Mix,2.030239802627326,0,Male,small,15,0.13534932017515505
126,A673599,Chihuahua Shorthair Mix,0.04315055522472513,0,Female,small,15,0.002876703681648342
127,A680390,Chihuahua Shorthair Mix,1.012137674132787,0,Male,small,15,0.0674758449421858
128,A688906,Chihuahua Shorthair Mix,0.5384436367618773,1,Male,small,15,0.03589624245079182
129,A671092,Chihuahua Shorthair Mix,0.3553841321557291,1,Male,small,15,0.023692275477048608
130,A675809,Chihuahua Shorthair Mix,0.8454124466773597,0,Male,small,15,0.05636082977849065
131,A588842,Chihuahua Shorthair Mix,6.689697408038647,0,Male,small,15,0.44597982720257645
132,A680055,Chihuahua Shorthair Mix,9.012372297552691,1,Female,small,15,0.6008248198368461
133,A684903,Chihuahua Shorthair Mix,6.090812572773188,1,Female,small,15,0.4060541715182125
134,A690947,Chihuahua Shorthair Mix,1.075204601509043,0,Female,small,15,0.07168030676726954
135,A670078,Chihuahua Shorthair Mix,2.0335309950086433,0,Female,small,15,0.13556873300057623
136,A684119,Chihuahua Shorthair Mix,0.5934527517106215,0,Male,small,15,0.0395635167807081
137,A673323,Chihuahua Shorthair Mix,0.8425452496172634,1,Female,small,15,0.05616968330781756
138,A684390,Chihuahua Shorthair Mix,5.11388742486917,1,Male,small,15,0.3409258283246113
139,A677395,Chihuahua Shorthair Mix,2.0192710626805783,0,Female,small,15,0.1346180708453719
140,A671344,Chihuahua Shorthair Mix,2.003410215283149,0,Male,small,15,0.1335606810188766
141,A670828,Chihuahua Shorthair Mix,3.0352342013259075,0,Female,small,15,0.2023489467550605
142,A681512,Chihuahua Shorthair Mix,1.1298201423255325,1,Male,small,15,0.07532134282170216
143,A687313,Chihuahua Shorthair Mix,0.18281233244579514,1,Male,small,15,0.012187488829719676
144,A676865,Chihuahua Shorthair Mix,3.17765099747276,0,Female,small,15,0.21184339983151732
145,A623762,Chihuahua Shorthair Mix,6.002783158525577,1,Male,small,15,0.40018554390170513
146,A677496,Chihuahua Shorthair Mix,1.0698295576835177,1,Male,small,15,0.07132197051223452
147,A683676,Chihuahua Shorthair Mix,2.014455008202313,1,Male,small,15,0.13429700054682087
148,A681884,Chihuahua Shorthair Mix,0.8452641433811479,1,Female,small,15,0.056350942892076525
149,A670723,Chihuahua Shorthair Mix,3.002573252321707,0,Female,small,15,0.20017155015478047
150,A675919,Chihuahua Shorthair Mix,9.009328277331727,0,Male,small,15,0.6006218851554485
